item,year,worry,actual,expected,unexpected
Trade unions / strikes,2012,0.5909090909090909,249,-0.26031890144453507,0.851227992353626
Trade unions / strikes,2013,0.5227272727272727,444,-0.8347180251672711,1.357445297894544
Trade unions / strikes,2014,0.9545454545454546,788,-0.2383555031360785,1.192900957681533
Trade unions / strikes,2015,0.9791666666666666,170,-0.8035228785683911,1.7826895452350577
Trade unions / strikes,2016,1.25,322,-1.0533948991446382,2.3033948991446382
Trade unions / strikes,2017,1.2708333333333333,276,-1.003312225636738,2.274145558970071
Trade unions / strikes,2018,1,273,-1.040810254763564,2.040810254763564
Trade unions / strikes,2019,0.9375,235,-1.0931701206367412,2.0306701206367412
Trade unions / strikes,2020,0.4166666666666667,994.6666666666666,-0.11786136737629302,0.5345280340429597
Trade unions / strikes,2021,1,1754.3333333333333,1.4389989104222565,-0.43899891042225647
Trade unions / strikes,2022,1.7083333333333333,2514,2.995859188220806,-1.2875258548874726
Trade unions / strikes,2023,3.1,2660,3.74247488360256,-0.64247488360256
Drugs,1993,2.1666666666666665,42.9,5.654793366213088,-3.4881266995464215
Drugs,1994,4.083333333333333,45.9,5.570644067226293,-1.4873107338929596
Drugs,1995,4.416666666666667,49.1,5.480884814973711,-1.0642181483070443
Drugs,1996,5.666666666666667,50,5.455640025277673,0.21102664138899385
Drugs,1997,5.363636363636363,54.1,5.3406359833290535,0.023000380307309776
Drugs,1998,6.25,56.4,5.276121520772511,0.9738784792274888
Drugs,1999,6.833333333333333,58.8,5.208802081583075,1.6245312517502581
Drugs,2000,6.916666666666667,55.2,5.309781240367229,1.6068854262994376
Drugs,2001,5.1,58.1,5.228436918013327,-0.12843691801332735
Drugs,2002,5.416666666666667,52.9,5.374295702923772,0.042370963742895285
Drugs,2003,5,49,5.483689791606605,-0.4836897916066052
Drugs,2004,5.333333333333333,52.1,5.396735515986917,-0.06340218265358377
Drugs,2005,5.2,50.9,5.430395235581635,-0.23039523558163477
Drugs,2006,5.181818181818182,47.2,5.5341793709986815,-0.35236118918049986
Drugs,2007,7.777777777777778,48,5.511739557935536,2.2660382198422413
Drugs,2008,6.583333333333333,53,5.371490726290879,1.2118426070424544
Drugs,2009,5.222222222222222,51.8,5.405150445885596,-0.18292822366337358
Drugs,2010,5.7272727272727275,49.4,5.472469885075032,0.25480284219769533
Drugs,2011,4.75,47.8,5.5173495112013224,-0.7673495112013224
Drugs,2012,4,46.5,5.553814207428934,-1.5538142074289336
Drugs,2013,5.363636363636363,52.6,5.382710632822451,-0.019074269186087456
